first_name,last_name,email,password,spirit_points,lodge_id,role_id,rank_id,is_active
Master,Mason,master@mason.com,admin123,,,1,9,TRUE
Mentor,Mentorski,mentor@mentorski.com,mentor123,,,2,8,TRUE
Mentorka,Mentorska,mentorka@mentorska.pl,mentor123,,,2,8,TRUE
Mentorek,Mentorowicz,mentorek@mentorowicz.net,mentor123,,,2,8,TRUE
Mentorina,Mentorewiczówna,mentorina@mentorewiczowna.org,mentor123,,,2,8,TRUE
Janusz,Polak,user@user.com,user123,0,1,3,1,TRUE
Herman,Niemiec,user1@user.com,user123,0,1,3,1,TRUE
Francesco,Włoch,user2@user.com,user123,0,1,3,1,TRUE
Manuel,Hiszpan,user3@user.com,user123,0,1,3,1,TRUE
Wiesiek,Anglik,user4@user.com,user123,0,1,3,1,TRUE
Marek,Francuz,user5@user.com,user123,0,1,3,1,TRUE
Maciek,Chorwat,user6@user.com,user123,0,2,3,3,TRUE
Anna,Ukrainka,user7@user.com,user123,0,2,3,4,TRUE
Kinga,Włoszka,user8@user.com,user123,0,2,3,4,TRUE
Kamila,Belgijka,user9@user.com,user123,0,2,3,4,TRUE
Ewelina,Szwedka,user10@user.com,user123,0,2,3,5,TRUE
Monika,Finka,user11@user.com,user123,0,3,3,5,TRUE
Krystyna,Turczynka,user12@user.com,user123,0,3,3,5,TRUE
Julia,Amerykanka,user13@user.com,user123,0,3,3,5,FALSE
Basia,Japonka,user14@user.com,user123,0,3,3,5,FALSE
